expression,reading,level
討論,とうろん,JLPT_1 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese
遠ざかる,とおざかる,JLPT_1 JLPT
遠回り,とおまわり,JLPT_1 JLPT
トーン,トーン,JLPT_1 JLPT
とかく,とかく,JLPT_1 JLPT
とがめる,とがめる,JLPT_1 JLPT
時折,ときおり,JLPT_1 JLPT
とぎれる,とぎれる,JLPT_1 JLPT
研ぐ,とぐ,JLPT_1 JLPT
特技,とくぎ,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese
独裁,どくさい,JLPT_1 JLPT
特産,とくさん,JLPT_1 JLPT
独自,どくじ,JLPT_1 JLPT
特集,とくしゅう,JLPT_1 JLPT
独占,どくせん,JLPT_1 JLPT
独創,どくそう,JLPT_1 JLPT
得点,とくてん,JLPT_1 JLPT
特派,とくは,JLPT_1 JLPT
特有,とくゆう,JLPT_1 JLPT
とげ (をさす),とげ (をさす),JLPT_1 JLPT
遂げる,とげる,JLPT_1 JLPT
～どころか,～どころか,JLPT_1 JLPT
年頃,としごろ,JLPT_1 JLPT
戸締り,とじまり,JLPT_1 JLPT
途上,とじょう,JLPT_1 JLPT
土台,どだい,JLPT_1 JLPT
途絶える,とだえる,JLPT_1 JLPT
特許,とっきょ,JLPT_1 JLPT
特権,とっけん,JLPT_1 JLPT
とっさに,とっさに,JLPT_1 JLPT
突如,とつじょ,JLPT_1 JLPT
とって,とって,JLPT_1 JLPT
突破,とっぱ,JLPT_1 JLPT
土手,どて,JLPT_1 JLPT
届,とどけ,JLPT_1 JLPT
滞る,とどこおる,JLPT_1 JLPT
整える,ととのえる,JLPT_1 JLPT
止める,とどめる,JLPT_1 JLPT
唱える,となえる,JLPT_1 JLPT
殿様,とのさま,JLPT_1 JLPT
土俵,どひょう,JLPT_1 JLPT
扉,とびら,JLPT_1 JLPT
溝,どぶ,JLPT_1 JLPT
徒歩,とほ,JLPT_1 JLPT
土木,どぼく,JLPT_1 JLPT
とぼける,とぼける,JLPT_1 JLPT
乏しい,とぼしい,JLPT_1 JLPT
富,とみ,JLPT_1 JLPT
富む,とむ,JLPT_1 JLPT
共稼ぎ,ともかせぎ,JLPT_1 JLPT
伴う,ともなう,JLPT_1 JLPT
共働き,ともばたらき,JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese
ドライ,ドライ,JLPT_1 JLPT
ドライクリーニング,ドライクリーニング,JLPT_1 JLPT
ドライバー,ドライバー,JLPT_1 JLPT
ドライブイン,ドライブイン,JLPT_1 JLPT
トラブル,トラブル,JLPT_1 JLPT
トランジスター,トランジスター,JLPT_1 JLPT
とりあえず,とりあえず,JLPT_1 JLPT
取扱,とりあつかい,JLPT_1 JLPT
取り扱う,とりあつかう,JLPT_1 JLPT
鳥居,とりい,JLPT_1 JLPT
取り替え,とりかえ,JLPT_1 JLPT
取り組む,とりくむ,JLPT_1 JLPT
取締り,とりしまり,JLPT_1 JLPT
取り締まる,とりしまる,JLPT_1 JLPT
取り調べる,とりしらべる,JLPT_1 JLPT
取り立てる,とりたてる,JLPT_1 JLPT
取り次ぐ,とりつぐ,JLPT_1 JLPT
取り付ける,とりつける,JLPT_1 JLPT
取り除く,とりのぞく,JLPT_1 JLPT
取引,とりひき,JLPT_1 JLPT
取り巻く,とりまく,JLPT_1 JLPT
取り混ぜる,とりまぜる,JLPT_1 JLPT
取り戻す,とりもどす,JLPT_1 JLPT
取り寄せる,とりよせる,JLPT_1 JLPT
ドリル,ドリル,JLPT_1 JLPT
副,とりわけ,JLPT_1 JLPT
とろける,とろける,JLPT_1 JLPT
鈍感,どんかん,JLPT_1 JLPT
とんだ,とんだ,JLPT_1 JLPT
度忘れ,どわすれ,JLPT_1 JLPT
問屋,とんや,JLPT_1 JLPT
内閣,ないかく,JLPT_1 JLPT
乃至,ないし,JLPT_1 JLPT
内緒,ないしょ,JLPT_1 JLPT
内心,ないしん,JLPT_1 JLPT
内蔵,ないぞう,JLPT_1 JLPT
ナイター,ナイター,JLPT_1 JLPT
内部,ないぶ,JLPT_1 JLPT
内乱,ないらん,JLPT_1 JLPT
内陸,ないりく,JLPT_1 JLPT
苗,なえ,JLPT_1 JLPT
なおさら,なおさら,JLPT_1 JLPT
流し,ながし,JLPT_1 JLPT
長々,ながなが,JLPT_1 JLPT
中程,なかほど,JLPT_1 JLPT
渚,なぎさ,JLPT_1 JLPT
嘆く,なげく,JLPT_1 JLPT
投げ出す,なげだす,JLPT_1 JLPT
仲人,なこうど,JLPT_1 JLPT
和やか,なごやか,JLPT_1 JLPT
名残,なごり,JLPT_1 JLPT
情け,なさけ,JLPT_1 JLPT
情無い,なさけない,JLPT_1 JLPT
情深い,なさけぶかい,JLPT_1 JLPT
詰る,なじる,JLPT_1 JLPT
名高い,なだかい,JLPT_1 JLPT
雪崩,なだれ,JLPT_1 JLPT
懐く,なつく,JLPT_1 JLPT
名付ける,なづける,JLPT_1 JLPT
何気ない,なにげない,JLPT_1 JLPT
なにとぞ,なにとぞ,JLPT_1 JLPT
なにより,なにより,JLPT_1 JLPT
ナプキン,ナプキン,JLPT_1 JLPT
名札,なふだ,JLPT_1 JLPT
生臭い,なまぐさい,JLPT_1 JLPT
生温い,なまぬるい,JLPT_1 JLPT
生身,なまみ,JLPT_1 JLPT
鉛,なまり,JLPT_1 JLPT
滑らか,なめらか,JLPT_1 JLPT
嘗める,なめる,JLPT_1 JLPT
悩ましい,なやましい,JLPT_1 JLPT
悩ます,なやます,JLPT_1 JLPT
悩み,なやみ,JLPT_1 JLPT Genki_Ln.19 Genki
並びに,ならびに,JLPT_1 JLPT
成り立つ,なりたつ,JLPT_1 JLPT
なるたけ,なるたけ,JLPT_1 JLPT
慣れ,なれ,JLPT_1 JLPT
馴々しい,なれなれしい,JLPT_1 JLPT
～なんか,～なんか,JLPT_1 JLPT
ナンセンス,ナンセンス,JLPT_1 JLPT
何だか,なんだか,JLPT_1 JLPT Intermediate_Japanese Intermediate_Japanese_Ln.11
なんだかんだ,なんだかんだ,JLPT_1 JLPT
なんなり,なんなり,JLPT_1 JLPT
荷,に,JLPT_1 JLPT
似通う,にかよう,JLPT_1 JLPT
にきび,にきび,JLPT_1 JLPT
賑わう,にぎわう,JLPT_1 JLPT
憎しみ,にくしみ,JLPT_1 JLPT
肉親,にくしん,JLPT_1 JLPT
肉体,にくたい,JLPT_1 JLPT
逃げ出す,にげだす,JLPT_1 JLPT
西日,にしび,JLPT_1 JLPT
滲む,にじむ,JLPT_1 JLPT
にせ物,にせもの,JLPT_1 JLPT
日夜,にちや,JLPT_1 JLPT
荷造り,にづくり,JLPT_1 JLPT
担う,になう,JLPT_1 JLPT
鈍る,にぶる,JLPT_1 JLPT
にも関わらず,にもかかわらず,JLPT_1 JLPT
ニュアンス,ニュアンス,JLPT_1 JLPT
ニュー,ニュー,JLPT_1 JLPT
入手,にゅうしゅ,JLPT_1 JLPT
入賞,にゅうしょう,JLPT_1 JLPT
入浴,にゅうよく,JLPT_1 JLPT
尿,にょう,JLPT_1 JLPT
認識,にんしき,JLPT_1 JLPT
妊娠,にんしん,JLPT_1 JLPT
任務,にんむ,JLPT_1 JLPT
任命,にんめい,JLPT_1 JLPT
抜かす,ぬかす,JLPT_1 JLPT
抜け出す,ぬけだす,JLPT_1 JLPT
