expression,reading,level
突き当たる,つきあたる,JLPT JLPT_2
月日,つきひ,JLPT JLPT_2
～続く,～つづく,JLPT JLPT_2
突っ込む,つっこむ,JLPT JLPT_2
務める,つとめる,JLPT JLPT_2
努める,つとめる,JLPT JLPT_2
綱,つな,JLPT JLPT_2
繋がり,つながり,JLPT JLPT_2
粒,つぶ,JLPT JLPT_2
潰す,つぶす,JLPT JLPT_2
潰れる,つぶれる,JLPT JLPT_2
つまずく,つまずく,JLPT JLPT_2
詰まる,つまる,JLPT JLPT_2
爪,つめ,JLPT JLPT_2
艶,つや,JLPT JLPT_2
強気,つよき,JLPT JLPT_2
～辛い,～づらい,JLPT JLPT_2
釣り合う,つりあう,JLPT JLPT_2
吊る,つる,JLPT JLPT_2
吊す,つるす,JLPT JLPT_2
手洗い,てあらい,JLPT JLPT_2
低～,てい～,JLPT JLPT_2
定員,ていいん,JLPT JLPT_2
定価,ていか,JLPT JLPT_2
低下,ていか,JLPT JLPT_2
定期券,ていきけん,JLPT JLPT_2
定休日,ていきゅうび,JLPT JLPT_2
停止,ていし,JLPT JLPT_2
停車,ていしゃ,JLPT JLPT_2
出入り,でいり,JLPT JLPT_2
出入口,でいりぐち,JLPT JLPT_2
手入れ,ていれ,JLPT JLPT_2
テーマ,テーマ,JLPT_2 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese
～滴,～てき,JLPT JLPT_2
出来上がり,できあがり,JLPT JLPT_2
出来上がる,できあがる,JLPT JLPT_2
的確,てきかく,JLPT JLPT_2
適確,てきかく,JLPT JLPT_2
手首,てくび,JLPT JLPT_2
凸凹,でこぼこ,JLPT JLPT_2
手頃,てごろ,JLPT JLPT_2
弟子,でし,JLPT JLPT_2
でたらめ,でたらめ,JLPT JLPT_2
手帳,てちょう,JLPT JLPT_2
鉄橋,てっきょう,JLPT JLPT_2
手続き,てつづき,JLPT JLPT_2
鉄砲,てっぽう,JLPT JLPT_2
テニスコート,テニスコート,JLPT JLPT_2
手拭い,てぬぐい,JLPT JLPT_2
手前,てまえ,JLPT JLPT_2
出迎え,でむかえ,JLPT JLPT_2
照らす,てらす,JLPT JLPT_2
照る,てる,JLPT JLPT_2
～点,～てん,JLPT JLPT_2
展開,てんかい,JLPT JLPT_2
伝記,でんき,JLPT JLPT_2
電球,でんきゅう,JLPT JLPT_2
点数,てんすう,JLPT JLPT_2
伝染,でんせん,JLPT JLPT_2
電池,でんち,Genki_Ln.15 JLPT_2 JLPT Genki
点々,てんてん,JLPT JLPT_2
転々,てんてん,JLPT JLPT_2
電柱,でんちゅう,JLPT JLPT_2
天皇,てんのう,JLPT JLPT_2
作法,さほう,JLPT JLPT_2 JLPT_3
様々,さまざま,JLPT JLPT_2 JLPT_3
冷ます,さます,JLPT JLPT_2 JLPT_3
覚ます,さます,JLPT JLPT_2 JLPT_3
冷める,さめる,JLPT JLPT_2 JLPT_3
覚める,さめる,JLPT JLPT_2 JLPT_3
左右,さゆう,JLPT JLPT_2 JLPT_3
皿,さら,JLPT Genki_Ln.14 JLPT_3 JLPT_2 Genki
更に,さらに,JLPT JLPT_2 JLPT_3
去る,さる,JLPT JLPT_2 JLPT_3
猿,さる,JLPT JLPT_3 JLPT_2 Genki_Ln.22 Genki
騒ぎ,さわぎ,JLPT JLPT_2 JLPT_3
参加,さんか,JLPT JLPT_2 JLPT_3
参考,さんこう,JLPT JLPT_2 JLPT_3
賛成,さんせい,JLPT JLPT_2 JLPT_3
酸性,さんせい,JLPT JLPT_2 JLPT_3
酸素,さんそ,JLPT JLPT_2 JLPT_3
氏,し,JLPT JLPT_2 JLPT_3
詩,し,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13
幸せ,しあわせ,JLPT JLPT_2 JLPT_3
ジーンズ,ジーンズ,JLPT JLPT_3 JLPT_2 Genki_Ln.2 Genki
ジェット機,ジェットき,JLPT JLPT_2 JLPT_3
四角,しかく,JLPT JLPT_2 JLPT_3
直に,じかに,JLPT JLPT_2 JLPT_3
しかも,しかも,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Intermediate_Japanese_Ln.2
四季,しき,JLPT JLPT_2 JLPT_3
直,じき,JLPT JLPT_2 JLPT_3
時期,じき,JLPT JLPT_2 JLPT_3
支給,しきゅう,JLPT JLPT_2 JLPT_3
至急,しきゅう,JLPT JLPT_2 JLPT_3
しきりに,しきりに,JLPT JLPT_2 JLPT_3
刺激,しげき,JLPT JLPT_2 JLPT_3
資源,しげん,JLPT JLPT_2 JLPT_3
事件,じけん,JLPT JLPT_2 JLPT_3
時刻,じこく,JLPT JLPT_2 JLPT_3
自殺,じさつ,JLPT JLPT_2 JLPT_3
事実,じじつ,JLPT JLPT_2 JLPT_3
支出,ししゅつ,JLPT JLPT_2 JLPT_3
事情,じじょう,JLPT JLPT_2 JLPT_3
詩人,しじん,JLPT JLPT_2 JLPT_3
自身,じしん,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14
沈む,しずむ,JLPT JLPT_2 JLPT_3
自然,しぜん,JLPT JLPT_2 JLPT_3
思想,しそう,JLPT JLPT_2 JLPT_3
舌,した,JLPT JLPT_2 JLPT_3
次第,しだい,JLPT JLPT_2 JLPT_3
従う,したがう,JLPT JLPT_2 JLPT_3
したがって,したがって,JLPT JLPT_2 JLPT_3
親しい,したしい,JLPT JLPT_2 JLPT_3
質,しつ,JLPT JLPT_2 JLPT_3
失業,しつぎょう,JLPT JLPT_2 JLPT_3
湿気,しっけ,JLPT JLPT_2 JLPT_3
実験,じっけん,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5
実現,じつげん,JLPT JLPT_2 JLPT_3
実行,じっこう,JLPT JLPT_2 JLPT_3
実際,じっさい,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15
実施,じっし,JLPT JLPT_2 JLPT_3
湿度,しつど,JLPT JLPT_2 JLPT_3
じっと,じっと,JLPT JLPT_2 JLPT_3
実に,じつに,JLPT JLPT_2 JLPT_3
実は,じつは,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1
失望,しつぼう,JLPT JLPT_2 JLPT_3
実力,じつりょく,JLPT JLPT_2 JLPT_3
支店,してん,JLPT JLPT_3 JLPT_2 Genki_Ln.20 Genki
指導,しどう,JLPT JLPT_2 JLPT_3
自動,じどう,JLPT JLPT_2 JLPT_3
児童,じどう,JLPT JLPT_2 JLPT_3
品,しな,JLPT JLPT_2 JLPT_3
支配,しはい,JLPT JLPT_2 JLPT_3
芝居,しばい,JLPT JLPT_2 JLPT_3
しばしば,しばしば,JLPT JLPT_2 JLPT_3
芝生,しばふ,JLPT JLPT_2 JLPT_3
支払,しはらい,JLPT JLPT_2 JLPT_3
支払う,しはらう,JLPT JLPT_2 JLPT_3
死亡,しぼう,JLPT JLPT_2 JLPT_3
資本,しほん,JLPT JLPT_2 JLPT_3
姉妹,しまい,JLPT JLPT_2 JLPT_3
しまった (かん),しまった (かん),JLPT JLPT_2 JLPT_3
自慢,じまん,JLPT JLPT_2 JLPT_3
地味,じみ,JLPT JLPT_2 JLPT_3
示す,しめす,JLPT JLPT_2 JLPT_3
占める,しめる,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14
湿る,しめる,JLPT JLPT_2 JLPT_3
下,しも,JLPT JLPT_2 JLPT_3
霜,しも,JLPT JLPT_2 JLPT_3
借金,しゃっきん,JLPT JLPT_2 JLPT_3
しゃべる,しゃべる,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8
週,しゅう,JLPT JLPT_2 JLPT_3
州,しゅう,JLPT JLPT_2 JLPT_3
銃,じゅう,JLPT JLPT_2 JLPT_3
周囲,しゅうい,JLPT JLPT_2 JLPT_3
収穫,しゅうかく,JLPT JLPT_2 JLPT_3
宗教,しゅうきょう,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3
重視,じゅうし,JLPT JLPT_2 JLPT_3
就職,しゅうしょく,JLPT JLPT_2 JLPT_3
ジュース,ジュース,JLPT Genki_Ln.12 JLPT_3 JLPT_2 Genki
修正,しゅうせい,JLPT JLPT_2 JLPT_3
重体,じゅうたい,JLPT JLPT_2 JLPT_3
渋滞,じゅうたい,JLPT JLPT_2 JLPT_3
重大,じゅうだい,JLPT JLPT_2 JLPT_3
住宅,じゅうたく,JLPT JLPT_2 JLPT_3
集団,しゅうだん,JLPT JLPT_2 JLPT_3
集中,しゅうちゅう,JLPT JLPT_2 JLPT_3
収入,しゅうにゅう,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14
住民,じゅうみん,JLPT JLPT_2 JLPT_3
重要,じゅうよう,JLPT JLPT_2 JLPT_3
修理,しゅうり,JLPT JLPT_2 JLPT_3
主義,しゅぎ,JLPT JLPT_2 JLPT_3
宿泊,しゅくはく,JLPT JLPT_2 JLPT_3
手術,しゅじゅつ,JLPT JLPT_2 JLPT_3
首相,しゅしょう,JLPT JLPT_2 JLPT_3
手段,しゅだん,JLPT JLPT_2 JLPT_3
主張,しゅちょう,JLPT JLPT_2 JLPT_3
出場,しゅつじょう,JLPT JLPT_2 JLPT_3
出身,しゅっしん,JLPT JLPT_2 JLPT_3
出版,しゅっぱん,JLPT JLPT_2 JLPT_3
首都,しゅと,JLPT JLPT_2 JLPT_3
主婦,しゅふ,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8 Genki_Ln.1 Genki
主要,しゅよう,JLPT JLPT_2 JLPT_3
需要,じゅよう,JLPT JLPT_2 JLPT_3
種類,しゅるい,JLPT JLPT_2 JLPT_3
順,じゅん,JLPT JLPT_2 JLPT_3
瞬間,しゅんかん,JLPT JLPT_2 JLPT_3
順調,じゅんちょう,JLPT JLPT_2 JLPT_3
順番,じゅんばん,JLPT JLPT_2 JLPT_3
使用,しよう,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11
小,しょう,JLPT JLPT_2 JLPT_3
章,しょう,JLPT JLPT_2 JLPT_3
賞,しょう,JLPT JLPT_2 JLPT_3
上,じょう,JLPT JLPT_2 JLPT_3
障害,しょうがい,JLPT JLPT_2 JLPT_3
奨学金,しょうがくきん,Genki_Ln.16 JLPT JLPT_3 JLPT_2 Genki
乗客,じょうきゃく,JLPT JLPT_2 JLPT_3
上京,じょうきょう,JLPT JLPT_2 JLPT_3
状況,じょうきょう,JLPT JLPT_2 JLPT_3
条件,じょうけん,JLPT JLPT_2 JLPT_3
正午,しょうご,JLPT JLPT_2 JLPT_3
正直,しょうじき,JLPT JLPT_2 JLPT_3
常識,じょうしき,JLPT JLPT_2 JLPT_3
少女,しょうじょ,JLPT JLPT_2 JLPT_3
少々,しょうしょう,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8 Genki_Ln.20 Genki
症状,しょうじょう,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
生じる,しょうじる,JLPT JLPT_2 JLPT_3
状態,じょうたい,JLPT JLPT_2 JLPT_3
上達,じょうたつ,JLPT JLPT_2 JLPT_3
冗談,じょうだん,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10
上等,じょうとう,JLPT JLPT_2 JLPT_3
衝突,しょうとつ,JLPT JLPT_2 JLPT_3
商人,しょうにん,JLPT JLPT_2 JLPT_3
承認,しょうにん,JLPT JLPT_2 JLPT_3
少年,しょうねん,JLPT JLPT_2 JLPT_3
商売,しょうばい,JLPT JLPT_2 JLPT_3
消費,しょうひ,JLPT JLPT_2 JLPT_3
商品,しょうひん,JLPT JLPT_2 JLPT_3
賞品,しょうひん,JLPT JLPT_2 JLPT_3
消防,しょうぼう,JLPT JLPT_2 JLPT_3
情報,じょうほう,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3
証明,しょうめい,JLPT JLPT_2 JLPT_3
省略,しょうりゃく,JLPT JLPT_2 JLPT_3
女王,じょおう,JLPT JLPT_2 JLPT_3
職,しょく,JLPT JLPT_2 JLPT_3
職業,しょくぎょう,JLPT JLPT_2 JLPT_3
食卓,しょくたく,JLPT JLPT_2 JLPT_3
食品,しょくひん,JLPT JLPT_2 JLPT_3
植物,しょくぶつ,JLPT JLPT_2 JLPT_3
食物,しょくもつ,JLPT JLPT_2 JLPT_3
食欲,しょくよく,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
食料,しょくりょう,JLPT JLPT_2 JLPT_3
食糧,しょくりょう,JLPT JLPT_2 JLPT_3
書斎,しょさい,JLPT JLPT_2 JLPT_3
女子,じょし,JLPT JLPT_2 JLPT_3
助手,じょしゅ,JLPT JLPT_2 JLPT_3
徐々に,じょじょに,JLPT JLPT_2 JLPT_3
署名,しょめい,JLPT JLPT_2 JLPT_3
書物,しょもつ,JLPT JLPT_2 JLPT_3
女優,じょゆう,JLPT JLPT_2 JLPT_3
処理,しょり,JLPT JLPT_2 JLPT_3
書類,しょるい,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14 Genki_Ln.22 Genki
知らせ,しらせ,JLPT JLPT_2 JLPT_3
尻,しり,JLPT JLPT_2 JLPT_3
知合い,しりあい,JLPT JLPT_2 JLPT_3
印,しるし,JLPT JLPT_2 JLPT_3
城,しろ,JLPT JLPT_2 JLPT_3
進学,しんがく,JLPT JLPT_2 JLPT_3
神経,しんけい,JLPT JLPT_2 JLPT_3
真剣,しんけん,JLPT JLPT_2 JLPT_3
信仰,しんこう,JLPT JLPT_2 JLPT_3
信号,しんごう,JLPT JLPT_3 JLPT_2 Genki_Ln.20 Genki
人工,じんこう,JLPT JLPT_2 JLPT_3
深刻,しんこく,JLPT JLPT_2 JLPT_3
診察,しんさつ,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
人種,じんしゅ,JLPT JLPT_2 JLPT_3
信じる,しんじる,JLPT JLPT_2 JLPT_3
人生,じんせい,JLPT JLPT_2 JLPT_3
親戚,しんせき,Genki_Ln.16 JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Genki
新鮮,しんせん,JLPT JLPT_2 JLPT_3
心臓,しんぞう,JLPT JLPT_2 JLPT_3
身体,しんたい,JLPT JLPT_2 JLPT_3
身長,しんちょう,JLPT JLPT_2 JLPT_3
慎重,しんちょう,JLPT JLPT_2 JLPT_3
審判,しんぱん,JLPT JLPT_2 JLPT_3
人物,じんぶつ,JLPT JLPT_2 JLPT_3
進歩,しんぽ,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13
親友,しんゆう,JLPT JLPT_2 JLPT_3
信用,しんよう,JLPT JLPT_2 JLPT_3
信頼,しんらい,JLPT JLPT_2 JLPT_3
心理,しんり,JLPT JLPT_2 JLPT_3
人類,じんるい,JLPT JLPT_2 JLPT_3
巣,す,JLPT JLPT_2 JLPT_3
酢,す,JLPT JLPT_2 JLPT_3
図,ず,JLPT JLPT_2 JLPT_3
水準,すいじゅん,JLPT JLPT_2 JLPT_3
推薦,すいせん,JLPT JLPT_2 JLPT_3
スイッチ,スイッチ,JLPT Genki_Ln.18 JLPT_3 JLPT_2 Genki
睡眠,すいみん,JLPT JLPT_2 JLPT_3
数,すう,JLPT JLPT_2 JLPT_3
数字,すうじ,JLPT JLPT_2 JLPT_3
スープ,スープ,JLPT JLPT_2 JLPT_3
末,すえ,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.4
姿,すがた,JLPT JLPT_2 JLPT_3
スキー,スキー,JLPT JLPT_3 JLPT_2 Genki_Ln.9 Genki
救う,すくう,JLPT JLPT_2 JLPT_3
すくなくとも,すくなくとも,JLPT JLPT_2 JLPT_3
優れる,すぐれる,JLPT JLPT_2 JLPT_3
スケート,スケート,JLPT JLPT_2 JLPT_3
スケジュール,スケジュール,JLPT JLPT_2 JLPT_3
少しも,すこしも,JLPT JLPT_2 JLPT_3
過ごす,すごす,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11
筋,すじ,JLPT JLPT_2 JLPT_3
進める,すすめる,JLPT JLPT_2 JLPT_3
勧める,すすめる,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13
スター,スター,JLPT JLPT_2 JLPT_3
スタイル,スタイル,JLPT JLPT_2 JLPT_3
スタンド,スタンド,JLPT JLPT_2 JLPT_3
頭痛,ずつう,JLPT JLPT_2 JLPT_3
ずっと,ずっと,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5 Genki_Ln.22 Genki
すっぱい,すっぱい,JLPT JLPT_2 JLPT_3
すてき,すてき,JLPT JLPT_2 JLPT_3
既に,すでに,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13
すなわち,すなわち,JLPT JLPT_2 JLPT_3
スピーチ,スピーチ,JLPT JLPT_3 JLPT_2 Genki Genki_Ln.21
全て,すべて,JLPT JLPT_2 JLPT_3
済ませる,すませる,JLPT JLPT_2 JLPT_3
角,すみ,JLPT JLPT_2 JLPT_3
墨,すみ,JLPT JLPT_2 JLPT_3
すみません (かん),すみません (かん),JLPT JLPT_2 JLPT_3
澄む,すむ,JLPT JLPT_2 JLPT_3
清む,すむ,JLPT JLPT_2 JLPT_3
刷る,する,JLPT JLPT_2 JLPT_3
為る,する,JLPT JLPT_2 JLPT_3
鋭い,するどい,JLPT JLPT_2 JLPT_3
すれ違う,すれちがう,JLPT JLPT_2 JLPT_3
ずれる,ずれる,JLPT JLPT_2 JLPT_3
正,せい,JLPT JLPT_2 JLPT_3
生,せい,JLPT JLPT_2 JLPT_3
性,せい,JLPT JLPT_2 JLPT_3
姓,せい,JLPT JLPT_2 JLPT_3
所為,せい,JLPT JLPT_2 JLPT_3
税,ぜい,JLPT JLPT_2 JLPT_3
性格,せいかく,JLPT Intermediate_Japanese Genki_Ln.19 JLPT_3 JLPT_2 Genki Intermediate_Japanese_Ln.3
正確,せいかく,JLPT JLPT_2 JLPT_3
世紀,せいき,JLPT JLPT_2 JLPT_3
請求,せいきゅう,JLPT JLPT_2 JLPT_3
税金,ぜいきん,Genki_Ln.15 JLPT JLPT_3 JLPT_2 Genki
清潔,せいけつ,JLPT JLPT_2 JLPT_3
制限,せいげん,JLPT JLPT_2 JLPT_3
成功,せいこう,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
正式,せいしき,JLPT JLPT_2 JLPT_3
性質,せいしつ,JLPT JLPT_2 JLPT_3
精神,せいしん,JLPT JLPT_2 JLPT_3
成人,せいじん,JLPT JLPT_2 JLPT_3
精々,せいぜい,JLPT JLPT_2 JLPT_3
成績,せいせき,JLPT Genki_Ln.12 Intermediate_Japanese JLPT_3 JLPT_2 Genki Intermediate_Japanese_Ln.3
製造,せいぞう,JLPT JLPT_2 JLPT_3
贅沢,ぜいたく,JLPT JLPT_2 JLPT_3
成長,せいちょう,JLPT JLPT_2 JLPT_3
生長,せいちょう,JLPT JLPT_2 JLPT_3
制度,せいど,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14
青年,せいねん,JLPT JLPT_2 JLPT_3
生年月日,せいねんがっぴ,JLPT JLPT_2 JLPT_3
製品,せいひん,JLPT JLPT_2 JLPT_3
政府,せいふ,JLPT Intermediate_Japanese Genki JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15 Genki_Ln.21
生物,せいぶつ,JLPT JLPT_2 JLPT_3
生命,せいめい,JLPT JLPT_2 JLPT_3
整理,せいり,JLPT JLPT_2 JLPT_3
咳,せき,JLPT Genki_Ln.12 JLPT_3 JLPT_2 Genki
石炭,せきたん,JLPT JLPT_2 JLPT_3
責任,せきにん,JLPT JLPT_2 JLPT_3
石油,せきゆ,JLPT JLPT_2 JLPT_3
世間,せけん,JLPT JLPT_2 JLPT_3
説,せつ,JLPT JLPT_2 JLPT_3
積極的,せっきょくてき,JLPT JLPT_2 JLPT_3
設計,せっけい,JLPT JLPT_2 JLPT_3
絶対,ぜったい,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7
セット,セット,JLPT JLPT_2 JLPT_3
愛,あい,JLPT JLPT_2 JLPT_3
相変わらず,あいかわらず,JLPT JLPT_2 JLPT_3
愛情,あいじょう,JLPT JLPT_2 JLPT_3
合図,あいず,JLPT JLPT_2 JLPT_3
アイスクリーム,アイスクリーム,JLPT JLPT_2 JLPT_3
愛する,あいする,JLPT JLPT_2 JLPT_3
相手,あいて,Genki Genki_Ln.22 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_2 JLPT_3
あいにく,あいにく,JLPT JLPT_2 JLPT_3
遭う,あう,JLPT JLPT_2 JLPT_3
アウト,アウト,JLPT JLPT_2 JLPT_3
明かり,あかり,JLPT JLPT_2 JLPT_3
空き,あき,JLPT JLPT_2 JLPT_3
明らか,あきらか,JLPT JLPT_2 JLPT_3
諦める,あきらめる,Genki Genki_Ln.14 Intermediate_Japanese Intermediate_Japanese_Ln.13 JLPT JLPT_2 JLPT_3
飽きる,あきる,JLPT JLPT_2 JLPT_3
握手,あくしゅ,JLPT JLPT_2 JLPT_3
悪魔,あくま,JLPT JLPT_2 JLPT_3
明ける,あける,JLPT JLPT_2 JLPT_3
揚げる,あげる,JLPT JLPT_2 JLPT_3
挙げる,あげる,JLPT JLPT_2 JLPT_3
預かる,あずかる,Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_2 JLPT_3
預ける,あずける,JLPT JLPT_2 JLPT_3
汗,あせ,JLPT JLPT_2 JLPT_3
与える,あたえる,Intermediate_Japanese Intermediate_Japanese_Ln.5 JLPT JLPT_2 JLPT_3
温かい,あたたかい,JLPT JLPT_2 JLPT_3
暖まる,あたたまる,JLPT JLPT_2 JLPT_3
温まる,あたたまる,JLPT JLPT_2 JLPT_3
暖める,あたためる,JLPT JLPT_2 JLPT_3
温める,あたためる,JLPT JLPT_2 JLPT_3
辺り,あたり,Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_2 JLPT_3
当たり前,あたりまえ,JLPT JLPT_2 JLPT_3
当たる,あたる,JLPT JLPT_2 JLPT_3
あちこち,あちこち,JLPT JLPT_2 JLPT_3
扱う,あつかう,Intermediate_Japanese Intermediate_Japanese_Ln.14 JLPT JLPT_2 JLPT_3
集まり,あつまり,JLPT JLPT_2 JLPT_3
当てる,あてる,JLPT JLPT_2 JLPT_3
跡,あと,JLPT JLPT_2 JLPT_3
穴,あな,JLPT JLPT_2 JLPT_3
油,あぶら,JLPT JLPT_2 JLPT_3
脂,あぶら,JLPT JLPT_2 JLPT_3
誤り,あやまり,JLPT JLPT_2 JLPT_3
粗,あら,JLPT JLPT_2 JLPT_3
嵐,あらし,JLPT JLPT_2 JLPT_3
争う,あらそう,JLPT JLPT_2 JLPT_3
新た,あらた,JLPT JLPT_2 JLPT_3
あらゆる,あらゆる,JLPT JLPT_2 JLPT_3
表す,あらわす,JLPT JLPT_2 JLPT_3
現す,あらわす,JLPT JLPT_2 JLPT_3
著す,あらわす,JLPT JLPT_2 JLPT_3
現れ,あらわれ,JLPT JLPT_2 JLPT_3
現れる,あらわれる,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8
ありがとう,ありがとう,JLPT JLPT_2 JLPT_3
在る; 有る,ある,JLPT JLPT_2 JLPT_3
或,ある,JLPT JLPT_2 JLPT_3
あるいは,あるいは,JLPT JLPT_2 JLPT_3
アルバム,アルバム,JLPT JLPT_2 JLPT_3
泡,あわ,JLPT JLPT_2 JLPT_3
合わせる,あわせる,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14
慌てる,あわてる,JLPT JLPT_2 JLPT_3
哀れ,あわれ,JLPT JLPT_2 JLPT_3
案,あん,JLPT JLPT_2 JLPT_3
案外,あんがい,JLPT JLPT_2 JLPT_3
暗記,あんき,JLPT JLPT_2 JLPT_3
安定,あんてい,JLPT JLPT_2 JLPT_3
あんなに,あんなに,JLPT JLPT_2 JLPT_3
あんまり,あんまり,JLPT JLPT_2 JLPT_3
胃,い,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
委員,いいん,JLPT JLPT_2 JLPT_3
意外,いがい,JLPT JLPT_2 JLPT_3
行き,いき,JLPT JLPT_2 JLPT_3
行き,ゆき,JLPT JLPT_2 JLPT_3
息,いき,JLPT JLPT_2 JLPT_3
勢い,いきおい,JLPT JLPT_2 JLPT_3
生き物,いきもの,JLPT JLPT_2 JLPT_3
いけない,いけない,JLPT JLPT_2 JLPT_3
医師,いし,JLPT JLPT_2 JLPT_3
意思,いし,JLPT JLPT_2 JLPT_3
意志,いし,JLPT JLPT_2 JLPT_3
維持,いじ,JLPT JLPT_2 JLPT_3
意識,いしき,JLPT JLPT_2 JLPT_3
異常,いじょう,JLPT JLPT_2 JLPT_3
意地悪,いじわる,JLPT JLPT_2 JLPT_3
泉,いずみ,JLPT JLPT_2 JLPT_3
いずれ,いずれ,JLPT JLPT_2 JLPT_3
以前,いぜん,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15
板,いた,JLPT JLPT_2 JLPT_3
偉大,いだい,JLPT JLPT_2 JLPT_3
抱く,いだく,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8
いたずら,いたずら,JLPT JLPT_2 JLPT_3
いただきます,いただきます,JLPT JLPT_2 JLPT_3
痛み,いたみ,JLPT JLPT_2 JLPT_3
至る,いたる,JLPT JLPT_2 JLPT_3
市,いち,JLPT_1 JLPT JLPT_2 JLPT_3
位置,いち,JLPT JLPT_2 JLPT_3
一時,いちじ,JLPT JLPT_2 JLPT_3
一度に,いちどに,JLPT JLPT_2 JLPT_3
市場,いちば,JLPT JLPT_2 JLPT_3
いつか,いつか,JLPT JLPT_2 JLPT_3
一家,いっか,JLPT JLPT_2 JLPT_3
一種,いっしゅ,JLPT JLPT_2 JLPT_3
一瞬,いっしゅん,JLPT JLPT_2 JLPT_3
一生,いっしょう,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8
一層,いっそう,JLPT JLPT_2 JLPT_3
一体,いったい,JLPT JLPT_2 JLPT_3
一致,いっち,JLPT JLPT_2 JLPT_3
いつでも,いつでも,JLPT JLPT_2 JLPT_3
いつのまにか,いつのまにか,JLPT JLPT_2 JLPT_3
一般,いっぱん,JLPT JLPT_2 JLPT_3
一方,いっぽう,JLPT JLPT_2 JLPT_3
いつまでも,いつまでも,JLPT JLPT_2 JLPT_3
移動,いどう,JLPT JLPT_2 JLPT_3
従兄弟,いとこ,JLPT JLPT_2 JLPT_3
従姉妹,いとこ,JLPT JLPT_2 JLPT_3
稲,いね,JLPT JLPT_2 JLPT_3
居眠り,いねむり,JLPT JLPT_2 JLPT_3
命,いのち,JLPT JLPT_2 JLPT_3
違反,いはん,JLPT JLPT_2 JLPT_3
衣服,いふく,JLPT JLPT_2 JLPT_3
居間,いま,JLPT JLPT_2 JLPT_3
今に,いまに,JLPT JLPT_2 JLPT_3
今にも,いまにも,JLPT JLPT_2 JLPT_3
イメージ,イメージ,JLPT JLPT_2 JLPT_3
否,いや,JLPT JLPT_2 JLPT_3
以来,いらい,JLPT JLPT_2 JLPT_3
